epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.0005,0,,,
0,,0,,,393.6502380371094
,0.0005,1,,,
1,,1,,,393.5035705566406
,0.0005,2,,,
2,,2,,,393.3594665527344
,0.0005,3,,,
3,,3,,,393.21746826171875
,0.0005,4,,,
4,,4,,,393.07720947265625
,0.0005,5,,,
5,,5,,,392.9383544921875
,0.0005,6,,,
6,,6,,,392.80072021484375
,0.0005,7,,,
7,,7,,,392.6641845703125
,0.0005,8,,,
8,,8,,,392.5287780761719
,0.0005,9,,,
9,,9,,,392.3943176269531
,0.0005,10,,,
10,,10,,,392.26080322265625
,0.0005,11,,,
11,,11,,,392.128173828125
,0.0005,12,,,
12,,12,,,391.99639892578125
,0.0005,13,,,
13,,13,,,391.8655090332031
,0.0005,14,,,
14,,14,,,391.7354431152344
,0.0005,15,,,
15,,15,,,391.60626220703125
,0.0005,16,,,
16,,16,,,391.47796630859375
,0.0005,17,,,
17,,17,,,391.35052490234375
,0.0005,18,,,
18,,18,,,391.2239990234375
,0.0005,19,,,
19,,19,,,391.09832763671875
,0.0005,20,,,
20,,20,,,390.97357177734375
,0.0005,21,,,
21,,21,,,390.8496398925781
,0.0005,22,,,
22,,22,,,390.7265625
,0.0005,23,,,
23,,23,,,390.6044616699219
,0.0005,24,,,
24,,24,,,390.48309326171875
,0.0005,25,,,
25,,25,,,390.3625793457031
,0.0005,26,,,
26,,26,,,390.242919921875
,0.0005,27,,,
27,,27,,,390.1239318847656
,0.0005,28,,,
28,,28,,,390.0057678222656
,0.0005,29,,,
29,,29,,,389.88836669921875
,0.0005,30,,,
30,,30,,,389.771728515625
,0.0005,31,,,
31,,31,,,389.65570068359375
,0.0005,32,,,
32,,32,,,389.5404357910156
,0.0005,33,,,
33,,33,,,389.4258117675781
,0.0005,34,,,
34,,34,,,389.311767578125
,0.0005,35,,,
35,,35,,,389.198486328125
,0.0005,36,,,
36,,36,,,389.0857238769531
,0.0005,37,,,
37,,37,,,388.97357177734375
,0.0005,38,,,
38,,38,,,388.8619384765625
,0.0005,39,,,
39,,39,,,388.7509765625
,0.0005,40,,,
40,,40,,,388.6404724121094
,0.0005,41,,,
41,,41,,,388.53045654296875
,0.0005,42,,,
42,,42,,,388.4210205078125
,0.0005,43,,,
43,,43,,,388.3119812011719
,0.0005,44,,,
44,,44,,,388.2034606933594
,0.0005,45,,,
45,,45,,,388.0953674316406
,0.0005,46,,,
46,,46,,,387.9876708984375
,0.0005,47,,,
47,,47,,,387.88037109375
,0.0005,48,,,
48,,48,,,387.7735290527344
,0.0005,49,,,
49,,49,,246.1441192626953,
49,,49,,,387.66705322265625
,0.0005,50,,,
50,,50,,,387.5610046386719
,0.0005,51,,,
51,,51,,,387.4552917480469
,0.0005,52,,,
52,,52,,,387.3499450683594
,0.0005,53,,,
53,,53,,,387.2449645996094
,0.0005,54,,,
54,,54,,,387.1402893066406
,0.0005,55,,,
55,,55,,,387.0359802246094
,0.0005,56,,,
56,,56,,,386.9319763183594
,0.0005,57,,,
57,,57,,,386.828369140625
,0.0005,58,,,
58,,58,,,386.7250061035156
,0.0005,59,,,
59,,59,,,386.62200927734375
,0.0005,60,,,
60,,60,,,386.5192565917969
,0.0005,61,,,
61,,61,,,386.4168395996094
,0.0005,62,,,
62,,62,,,386.3146667480469
,0.0005,63,,,
63,,63,,,386.21282958984375
,0.0005,64,,,
64,,64,,,386.1111755371094
,0.0005,65,,,
65,,65,,,386.0098571777344
,0.0005,66,,,
66,,66,,,385.9087219238281
,0.0005,67,,,
67,,67,,,385.8079833984375
,0.0005,68,,,
68,,68,,,385.7073059082031
,0.0005,69,,,
69,,69,,,385.6069030761719
,0.0005,70,,,
70,,70,,,385.5067443847656
,0.0005,71,,,
71,,71,,,385.40679931640625
,0.0005,72,,,
72,,72,,,385.3070373535156
,0.0005,73,,,
73,,73,,,385.20751953125
,0.0005,74,,,
74,,74,,,385.10821533203125
,0.0005,75,,,
75,,75,,,385.0090637207031
,0.0005,76,,,
76,,76,,,384.91009521484375
,0.0005,77,,,
77,,77,,,384.8113098144531
,0.0005,78,,,
78,,78,,,384.712646484375
,0.0005,79,,,
79,,79,,,384.61419677734375
,0.0005,80,,,
80,,80,,,384.5158386230469
,0.0005,81,,,
81,,81,,,384.4176025390625
,0.0005,82,,,
82,,82,,,384.3194580078125
,0.0005,83,,,
83,,83,,,384.2215270996094
,0.0005,84,,,
84,,84,,,384.1235656738281
,0.0005,85,,,
85,,85,,,384.0257873535156
,0.0005,86,,,
86,,86,,,383.9280700683594
,0.0005,87,,,
87,,87,,,383.8305358886719
,0.0005,88,,,
88,,88,,,383.7330627441406
,0.0005,89,,,
89,,89,,,383.6357116699219
,0.0005,90,,,
90,,90,,,383.5382995605469
,0.0005,91,,,
91,,91,,,383.4410705566406
,0.0005,92,,,
92,,92,,,383.3438720703125
,0.0005,93,,,
93,,93,,,383.2467041015625
,0.0005,94,,,
94,,94,,,383.1496276855469
,0.0005,95,,,
95,,95,,,383.05255126953125
,0.0005,96,,,
96,,96,,,382.9555358886719
,0.0005,97,,,
97,,97,,,382.8585205078125
,0.0005,98,,,
98,,98,,,382.76153564453125
,0.0005,99,,,
99,,99,,241.1027374267578,
99,,99,,,382.66455078125
,0.0005,100,,,
100,,100,,,382.5675964355469
,0.0005,101,,,
101,,101,,,382.4705810546875
,0.0005,102,,,
102,,102,,,382.37371826171875
,0.0005,103,,,
103,,103,,,382.2767639160156
,0.0005,104,,,
104,,104,,,382.1798095703125
,0.0005,105,,,
105,,105,,,382.0828552246094
,0.0005,106,,,
106,,106,,,381.9858703613281
,0.0005,107,,,
107,,107,,,381.888916015625
,0.0005,108,,,
108,,108,,,381.7918701171875
,0.0005,109,,,
109,,109,,,381.6947937011719
,0.0005,110,,,
110,,110,,,381.5978088378906
,0.0005,111,,,
111,,111,,,381.500732421875
,0.0005,112,,,
112,,112,,,381.4036560058594
,0.0005,113,,,
113,,113,,,381.3064880371094
,0.0005,114,,,
114,,114,,,381.2093811035156
,0.0005,115,,,
115,,115,,,381.1122741699219
,0.0005,116,,,
116,,116,,,381.01507568359375
,0.0005,117,,,
117,,117,,,380.9178161621094
,0.0005,118,,,
118,,118,,,380.8206481933594
,0.0005,119,,,
119,,119,,,380.7233581542969
,0.0005,120,,,
120,,120,,,380.6260681152344
,0.0005,121,,,
121,,121,,,380.5285949707031
,0.0005,122,,,
122,,122,,,380.4313049316406
,0.0005,123,,,
123,,123,,,380.3338623046875
,0.0005,124,,,
124,,124,,,380.2362976074219
,0.0005,125,,,
125,,125,,,380.1387939453125
,0.0005,126,,,
126,,126,,,380.04119873046875
,0.0005,127,,,
127,,127,,,379.9434814453125
,0.0005,128,,,
128,,128,,,379.8456726074219
,0.0005,129,,,
129,,129,,,379.74786376953125
,0.0005,130,,,
130,,130,,,379.64996337890625
,0.0005,131,,,
131,,131,,,379.5519104003906
,0.0005,132,,,
132,,132,,,379.453857421875
,0.0005,133,,,
133,,133,,,379.35565185546875
,0.0005,134,,,
134,,134,,,379.25738525390625
,0.0005,135,,,
135,,135,,,379.1590270996094
,0.0005,136,,,
136,,136,,,379.06048583984375
,0.0005,137,,,
137,,137,,,378.9619445800781
,0.0005,138,,,
138,,138,,,378.8633117675781
,0.0005,139,,,
139,,139,,,378.7645568847656
,0.0005,140,,,
140,,140,,,378.665771484375
,0.0005,141,,,
141,,141,,,378.5667724609375
,0.0005,142,,,
142,,142,,,378.4677734375
,0.0005,143,,,
143,,143,,,378.36859130859375
,0.0005,144,,,
144,,144,,,378.26934814453125
,0.0005,145,,,
145,,145,,,378.1700439453125
,0.0005,146,,,
146,,146,,,378.0705261230469
,0.0005,147,,,
147,,147,,,377.97100830078125
,0.0005,148,,,
148,,148,,,377.87127685546875
,0.0005,149,,,
149,,149,,236.18780517578125,
149,,149,,,377.7715148925781
,0.0005,150,,,
150,,150,,,377.6716003417969
,0.0005,151,,,
151,,151,,,377.5715637207031
,0.0005,152,,,
152,,152,,,377.4714050292969
,0.0005,153,,,
153,,153,,,377.3710632324219
,0.0005,154,,,
154,,154,,,377.2706298828125
,0.0005,155,,,
155,,155,,,377.1700439453125
,0.0005,156,,,
156,,156,,,377.0693359375
,0.0005,157,,,
157,,157,,,376.9685363769531
,0.0005,158,,,
158,,158,,,376.86761474609375
,0.0005,159,,,
159,,159,,,376.7664794921875
,0.0005,160,,,
160,,160,,,376.66522216796875
,0.0005,161,,,
161,,161,,,376.56390380859375
,0.0005,162,,,
162,,162,,,376.4623107910156
,0.0005,163,,,
163,,163,,,376.36065673828125
,0.0005,164,,,
164,,164,,,376.2588806152344
,0.0005,165,,,
165,,165,,,376.156982421875
,0.0005,166,,,
166,,166,,,376.0549011230469
,0.0005,167,,,
167,,167,,,375.95269775390625
,0.0005,168,,,
168,,168,,,375.8502502441406
,0.0005,169,,,
169,,169,,,375.7476501464844
,0.0005,170,,,
170,,170,,,375.64501953125
,0.0005,171,,,
171,,171,,,375.5421447753906
,0.0005,172,,,
172,,172,,,375.43914794921875
,0.0005,173,,,
173,,173,,,375.3360595703125
,0.0005,174,,,
174,,174,,,375.2327575683594
,0.0005,175,,,
175,,175,,,375.1292724609375
,0.0005,176,,,
176,,176,,,375.0257263183594
,0.0005,177,,,
177,,177,,,374.9219970703125
,0.0005,178,,,
178,,178,,,374.81805419921875
,0.0005,179,,,
179,,179,,,374.7139892578125
,0.0005,180,,,
180,,180,,,374.60986328125
,0.0005,181,,,
181,,181,,,374.5054626464844
,0.0005,182,,,
182,,182,,,374.40087890625
,0.0005,183,,,
183,,183,,,374.29632568359375
,0.0005,184,,,
184,,184,,,374.19134521484375
,0.0005,185,,,
185,,185,,,374.0863037109375
,0.0005,186,,,
186,,186,,,373.9812927246094
,0.0005,187,,,
187,,187,,,373.8759765625
,0.0005,188,,,
188,,188,,,373.7703552246094
,0.0005,189,,,
189,,189,,,373.664794921875
,0.0005,190,,,
190,,190,,,373.55902099609375
,0.0005,191,,,
191,,191,,,373.4529724121094
,0.0005,192,,,
192,,192,,,373.3468322753906
,0.0005,193,,,
193,,193,,,373.2405700683594
,0.0005,194,,,
194,,194,,,373.13409423828125
,0.0005,195,,,
195,,195,,,373.0274963378906
,0.0005,196,,,
196,,196,,,372.9208068847656
,0.0005,197,,,
197,,197,,,372.8136901855469
,0.0005,198,,,
198,,198,,,372.7065734863281
,0.0005,199,,,
199,,199,,230.9936065673828,
199,,199,,,372.599365234375
,0.0005,200,,,
200,,200,,,372.4918518066406
,0.0005,201,,,
201,,201,,,372.38421630859375
,0.0005,202,,,
202,,202,,,372.27642822265625
,0.0005,203,,,
203,,203,,,372.16845703125
,0.0005,204,,,
204,,204,,,372.0603332519531
,0.0005,205,,,
205,,205,,,371.9520568847656
,0.0005,206,,,
206,,206,,,371.8435974121094
,0.0005,207,,,
207,,207,,,371.73486328125
