epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.0005,0,,,
0,,0,,,392.3948974609375
,0.0005,1,,,
1,,1,,,391.67529296875
,0.0005,2,,,
2,,2,,,391.1031799316406
,0.0005,3,,,
3,,3,,,390.6039123535156
,0.0005,4,,,
4,,4,,,390.18804931640625
,0.0005,5,,,
5,,5,,,389.83795166015625
,0.0005,6,,,
6,,6,,,389.5196838378906
,0.0005,7,,,
7,,7,,,389.2380065917969
,0.0005,8,,,
8,,8,,,388.9774475097656
,0.0005,9,,,
9,,9,,,388.73822021484375
,0.0005,10,,,
10,,10,,,388.5204772949219
,0.0005,11,,,
11,,11,,,388.3172302246094
,0.0005,12,,,
12,,12,,,388.1412658691406
,0.0005,13,,,
13,,13,,,387.98492431640625
,0.0005,14,,,
14,,14,,,387.83990478515625
,0.0005,15,,,
15,,15,,,387.7008056640625
,0.0005,16,,,
16,,16,,,387.5661926269531
,0.0005,17,,,
17,,17,,,387.43646240234375
,0.0005,18,,,
18,,18,,,387.3127136230469
,0.0005,19,,,
19,,19,,,387.1944580078125
,0.0005,20,,,
20,,20,,,387.08245849609375
,0.0005,21,,,
21,,21,,,386.9768981933594
,0.0005,22,,,
22,,22,,,386.8750915527344
,0.0005,23,,,
23,,23,,,386.7770080566406
,0.0005,24,,,
24,,24,,,386.6826171875
,0.0005,25,,,
25,,25,,,386.5914001464844
,0.0005,26,,,
26,,26,,,386.5026550292969
,0.0005,27,,,
27,,27,,,386.4162292480469
,0.0005,28,,,
28,,28,,,386.33221435546875
,0.0005,29,,,
29,,29,,,386.250244140625
,0.0005,30,,,
30,,30,,,386.1695556640625
,0.0005,31,,,
31,,31,,,386.0903015136719
,0.0005,32,,,
32,,32,,,386.01239013671875
,0.0005,33,,,
33,,33,,,385.9347839355469
,0.0005,34,,,
34,,34,,,385.8573303222656
,0.0005,35,,,
35,,35,,,385.78009033203125
,0.0005,36,,,
36,,36,,,385.7029724121094
,0.0005,37,,,
37,,37,,,385.6259765625
,0.0005,38,,,
38,,38,,,385.54913330078125
,0.0005,39,,,
39,,39,,,385.4726867675781
,0.0005,40,,,
40,,40,,,385.3966369628906
,0.0005,41,,,
41,,41,,,385.32073974609375
,0.0005,42,,,
42,,42,,,385.24462890625
,0.0005,43,,,
43,,43,,,385.1682434082031
,0.0005,44,,,
44,,44,,,385.09149169921875
,0.0005,45,,,
45,,45,,,385.0145568847656
,0.0005,46,,,
46,,46,,,384.9373474121094
,0.0005,47,,,
47,,47,,,384.860107421875
,0.0005,48,,,
48,,48,,,384.78253173828125
,0.0005,49,,,
49,,49,,243.06048583984375,
49,,49,,,384.7049560546875
50,,50,403.89117431640625,,
