epoch,lr-AdamW,step,test_mse,val_mse
,0.0005,0,,
0,,0,,415.7713623046875
,0.0005,1,,
1,,1,,399.0686950683594
,0.0005,2,,
2,,2,,383.8182678222656
,0.0005,3,,
3,,3,,369.1510925292969
,0.0005,4,,
4,,4,,355.225830078125
,0.0005,5,,
5,,5,,341.3232727050781
,0.0005,6,,
6,,6,,326.87139892578125
,0.0005,7,,
7,,7,,311.96844482421875
,0.0005,8,,
8,,8,,296.2234191894531
,0.0005,9,,
9,,9,,281.03106689453125
,0.0005,10,,
10,,10,,265.8680419921875
,0.0005,11,,
11,,11,,250.47254943847656
,0.0005,12,,
12,,12,,234.9298095703125
,0.0005,13,,
13,,13,,218.9444580078125
,0.0005,14,,
14,,14,,202.5509490966797
,0.0005,15,,
15,,15,,184.93701171875
,0.0005,16,,
16,,16,,166.52320861816406
,0.0005,17,,
17,,17,,147.81246948242188
,0.0005,18,,
18,,18,,129.2161102294922
,0.0005,19,,
19,,19,,110.40679168701172
,0.0005,20,,
20,,20,,92.55506896972656
,0.0005,21,,
21,,21,,75.75846862792969
,0.0005,22,,
22,,22,,60.33464050292969
,0.0005,23,,
23,,23,,47.32126235961914
,0.0005,24,,
24,,24,,37.224884033203125
,0.0005,25,,
25,,25,,30.21400260925293
,0.0005,26,,
26,,26,,26.184127807617188
,0.0005,27,,
27,,27,,24.06162452697754
,0.0005,28,,
28,,28,,22.78809928894043
,0.0005,29,,
29,,29,,21.70903778076172
,0.0005,30,,
30,,30,,20.727190017700195
,0.0005,31,,
31,,31,,20.0280818939209
,0.0005,32,,
32,,32,,20.119609832763672
,0.0005,33,,
33,,33,,21.944669723510742
,0.0005,34,,
34,,34,,25.18020248413086
,0.0005,35,,
35,,35,,29.436603546142578
,0.0005,36,,
36,,36,,33.68374252319336
37,,37,28.005809783935547,
