epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.001,0,,,
0,,0,,,155990.890625
,0.001,1,,,
1,,1,,,155832.109375
,0.001,2,,,
2,,2,,,155551.421875
,0.001,3,,,
3,,3,,,155421.484375
,0.001,4,,,
4,,4,,,155306.578125
,0.001,5,,,
5,,5,,,155211.09375
,0.001,6,,,
6,,6,,,155134.78125
,0.001,7,,,
7,,7,,,155051.328125
,0.001,8,,,
8,,8,,,154981.3125
,0.001,9,,,
9,,9,,,154903.203125
,0.001,10,,,
10,,10,,,154795.515625
,0.001,11,,,
11,,11,,,154651.96875
,0.001,12,,,
12,,12,,,154502.125
,0.001,13,,,
13,,13,,,154388.96875
,0.001,14,,,
14,,14,,,154282.046875
,0.001,15,,,
15,,15,,,154205.4375
,0.001,16,,,
16,,16,,,154135.203125
,0.001,17,,,
17,,17,,,154067.28125
,0.001,18,,,
18,,18,,,154001.5
,0.001,19,,,
19,,19,,,153931.921875
,0.001,20,,,
20,,20,,,153855.46875
,0.001,21,,,
21,,21,,,153788.015625
,0.001,22,,,
22,,22,,,153718.171875
,0.001,23,,,
23,,23,,,153651.921875
,0.001,24,,,
24,,24,,,153584.890625
,0.001,25,,,
25,,25,,,153520.09375
,0.001,26,,,
26,,26,,,153461.078125
,0.001,27,,,
27,,27,,,153406.65625
,0.001,28,,,
28,,28,,,153351.859375
,0.001,29,,,
29,,29,,,153291.265625
,0.001,30,,,
30,,30,,,153238.28125
,0.001,31,,,
31,,31,,,153181.96875
,0.001,32,,,
32,,32,,,153126.15625
,0.001,33,,,
33,,33,,,153060.828125
,0.001,34,,,
34,,34,,,152997.046875
,0.001,35,,,
35,,35,,,152936.390625
,0.001,36,,,
36,,36,,,152875.015625
,0.001,37,,,
37,,37,,,152818.296875
,0.001,38,,,
38,,38,,,152762.828125
,0.001,39,,,
39,,39,,,152707.1875
,0.001,40,,,
40,,40,,,152652.703125
,0.001,41,,,
41,,41,,,152599.21875
,0.001,42,,,
42,,42,,,152543.9375
,0.001,43,,,
43,,43,,,152487.859375
,0.001,44,,,
44,,44,,,152431.609375
,0.001,45,,,
45,,45,,,152375.203125
,0.001,46,,,
46,,46,,,152318.703125
,0.001,47,,,
47,,47,,,152262.015625
,0.001,48,,,
48,,48,,,152205.21875
,0.001,49,,,
49,,49,,55322.859375,
49,,49,,,152148.296875
,0.001,50,,,
50,,50,,,152091.25
,0.001,51,,,
51,,51,,,152034.078125
,0.001,52,,,
52,,52,,,151976.78125
,0.001,53,,,
53,,53,,,151919.375
,0.001,54,,,
54,,54,,,151861.796875
,0.001,55,,,
55,,55,,,151803.984375
,0.001,56,,,
56,,56,,,151746.03125
,0.001,57,,,
57,,57,,,151688.140625
,0.001,58,,,
58,,58,,,151630.203125
,0.001,59,,,
59,,59,,,151572.0625
,0.001,60,,,
60,,60,,,151513.71875
,0.001,61,,,
61,,61,,,151455.1875
,0.001,62,,,
62,,62,,,151396.53125
,0.001,63,,,
63,,63,,,151337.734375
,0.001,64,,,
64,,64,,,151278.796875
,0.001,65,,,
65,,65,,,151219.671875
,0.001,66,,,
66,,66,,,151160.375
,0.001,67,,,
67,,67,,,151100.921875
,0.001,68,,,
68,,68,,,151041.34375
,0.001,69,,,
69,,69,,,150981.59375
,0.001,70,,,
70,,70,,,150921.671875
,0.001,71,,,
71,,71,,,150861.578125
,0.001,72,,,
72,,72,,,150801.28125
,0.001,73,,,
73,,73,,,150740.84375
,0.001,74,,,
74,,74,,,150680.203125
,0.001,75,,,
75,,75,,,150619.375
,0.001,76,,,
76,,76,,,150558.34375
,0.001,77,,,
77,,77,,,150497.15625
,0.001,78,,,
78,,78,,,150435.8125
,0.001,79,,,
79,,79,,,150374.265625
,0.001,80,,,
80,,80,,,150312.515625
,0.001,81,,,
81,,81,,,150250.5625
,0.001,82,,,
82,,82,,,150188.421875
,0.001,83,,,
83,,83,,,150126.03125
,0.001,84,,,
84,,84,,,150063.46875
,0.001,85,,,
85,,85,,,150000.71875
,0.001,86,,,
86,,86,,,149937.796875
,0.001,87,,,
87,,87,,,149874.6875
,0.001,88,,,
88,,88,,,149811.375
,0.001,89,,,
89,,89,,,149747.859375
,0.001,90,,,
90,,90,,,149684.09375
,0.001,91,,,
91,,91,,,149620.140625
,0.001,92,,,
92,,92,,,149555.9375
,0.001,93,,,
93,,93,,,149491.5625
,0.001,94,,,
94,,94,,,149426.984375
,0.001,95,,,
95,,95,,,149362.234375
,0.001,96,,,
96,,96,,,149297.3125
,0.001,97,,,
97,,97,,,149232.125
,0.001,98,,,
98,,98,,,149165.0625
,0.001,99,,,
99,,99,,53497.7890625,
99,,99,,,149097.703125
,0.001,100,,,
100,,100,,,149028.28125
,0.001,101,,,
101,,101,,,148948.796875
,0.001,102,,,
102,,102,,,148878.359375
,0.001,103,,,
103,,103,,,148803.40625
,0.001,104,,,
104,,104,,,148720.125
,0.001,105,,,
105,,105,,,148634.171875
,0.001,106,,,
106,,106,,,148566.625
,0.001,107,,,
107,,107,,,148498.78125
,0.001,108,,,
108,,108,,,148430.5
,0.001,109,,,
109,,109,,,148361.84375
,0.001,110,,,
110,,110,,,148292.8125
,0.001,111,,,
111,,111,,,148223.78125
,0.001,112,,,
112,,112,,,148154.828125
,0.001,113,,,
113,,113,,,148085.828125
,0.001,114,,,
114,,114,,,148016.515625
,0.001,115,,,
115,,115,,,147946.609375
,0.001,116,,,
116,,116,,,147876.328125
,0.001,117,,,
117,,117,,,147805.484375
,0.001,118,,,
118,,118,,,147734.78125
,0.001,119,,,
119,,119,,,147664.5
,0.001,120,,,
120,,120,,,147594.21875
,0.001,121,,,
121,,121,,,147523.28125
,0.001,122,,,
122,,122,,,147451.5
,0.001,123,,,
123,,123,,,147379.34375
,0.001,124,,,
124,,124,,,147307.296875
,0.001,125,,,
125,,125,,,147235.5625
,0.001,126,,,
126,,126,,,147164.140625
,0.001,127,,,
127,,127,,,147091.484375
,0.001,128,,,
128,,128,,,147018.609375
,0.001,129,,,
129,,129,,,146945.15625
,0.001,130,,,
130,,130,,,146871.8125
,0.001,131,,,
131,,131,,,146799.25
,0.001,132,,,
132,,132,,,146725.765625
,0.001,133,,,
133,,133,,,146652.125
,0.001,134,,,
134,,134,,,146577.734375
,0.001,135,,,
135,,135,,,146503.265625
,0.001,136,,,
136,,136,,,146429.078125
,0.001,137,,,
137,,137,,,146355.375
,0.001,138,,,
138,,138,,,146280.5625
,0.001,139,,,
139,,139,,,146205.125
,0.001,140,,,
140,,140,,,146129.90625
,0.001,141,,,
141,,141,,,146055.046875
,0.001,142,,,
142,,142,,,145980.078125
,0.001,143,,,
143,,143,,,145904.265625
,0.001,144,,,
144,,144,,,145828.046875
,0.001,145,,,
145,,145,,,145752.03125
,0.001,146,,,
146,,146,,,145676.078125
,0.001,147,,,
147,,147,,,145599.875
,0.001,148,,,
148,,148,,,145523.03125
,0.001,149,,,
149,,149,,51364.86328125,
149,,149,,,145445.8125
,0.001,150,,,
150,,150,,,145368.65625
,0.001,151,,,
151,,151,,,145291.859375
,0.001,152,,,
152,,152,,,145214.203125
,0.001,153,,,
153,,153,,,145136.15625
,0.001,154,,,
154,,154,,,145057.875
,0.001,155,,,
155,,155,,,144980.203125
,0.001,156,,,
156,,156,,,144901.875
,0.001,157,,,
157,,157,,,144822.859375
,0.001,158,,,
158,,158,,,144744.0
,0.001,159,,,
159,,159,,,144665.234375
,0.001,160,,,
160,,160,,,144586.203125
,0.001,161,,,
161,,161,,,144506.59375
,0.001,162,,,
162,,162,,,144426.78125
,0.001,163,,,
163,,163,,,144346.4375
,0.001,164,,,
164,,164,,,144261.234375
,0.001,165,,,
165,,165,,,144169.890625
,0.001,166,,,
166,,166,,,144074.453125
,0.001,167,,,
167,,167,,,143982.234375
,0.001,168,,,
168,,168,,,143892.6875
,0.001,169,,,
169,,169,,,143806.390625
,0.001,170,,,
170,,170,,,143713.25
,0.001,171,,,
171,,171,,,143629.609375
,0.001,172,,,
172,,172,,,143548.34375
,0.001,173,,,
173,,173,,,143465.640625
,0.001,174,,,
174,,174,,,143382.796875
,0.001,175,,,
175,,175,,,143299.75
,0.001,176,,,
176,,176,,,143216.5
,0.001,177,,,
177,,177,,,143132.296875
,0.001,178,,,
178,,178,,,143047.1875
,0.001,179,,,
179,,179,,,142961.21875
,0.001,180,,,
180,,180,,,142874.78125
,0.001,181,,,
181,,181,,,142787.921875
,0.001,182,,,
182,,182,,,142700.953125
,0.001,183,,,
183,,183,,,142613.75
,0.001,184,,,
184,,184,,,142525.78125
,0.001,185,,,
185,,185,,,142437.90625
,0.001,186,,,
186,,186,,,142350.234375
,0.001,187,,,
187,,187,,,142262.09375
,0.001,188,,,
188,,188,,,142172.625
,0.001,189,,,
189,,189,,,142080.3125
,0.001,190,,,
190,,190,,,141985.609375
,0.001,191,,,
191,,191,,,141888.375
,0.001,192,,,
192,,192,,,141787.21875
,0.001,193,,,
193,,193,,,141691.0
,0.001,194,,,
194,,194,,,141599.25
,0.001,195,,,
195,,195,,,141505.25
,0.001,196,,,
196,,196,,,141417.09375
,0.001,197,,,
197,,197,,,141326.984375
,0.001,198,,,
198,,198,,,141236.40625
,0.001,199,,,
199,,199,,48874.265625,
199,,199,,,141145.984375
,0.001,200,,,
200,,200,,,141055.15625
,0.001,201,,,
201,,201,,,140963.859375
,0.001,202,,,
202,,202,,,140872.140625
,0.001,203,,,
203,,203,,,140780.0625
,0.001,204,,,
204,,204,,,140687.609375
,0.001,205,,,
205,,205,,,140594.8125
,0.001,206,,,
206,,206,,,140501.671875
,0.001,207,,,
207,,207,,,140408.203125
,0.001,208,,,
208,,208,,,140314.453125
,0.001,209,,,
209,,209,,,140220.390625
,0.001,210,,,
210,,210,,,140126.015625
,0.001,211,,,
211,,211,,,140031.390625
,0.001,212,,,
212,,212,,,139936.46875
,0.001,213,,,
213,,213,,,139841.328125
,0.001,214,,,
214,,214,,,139745.890625
,0.001,215,,,
215,,215,,,139650.234375
,0.001,216,,,
216,,216,,,139554.296875
,0.001,217,,,
217,,217,,,139458.171875
,0.001,218,,,
218,,218,,,139361.765625
,0.001,219,,,
219,,219,,,139265.15625
,0.001,220,,,
220,,220,,,139168.296875
,0.001,221,,,
221,,221,,,139071.234375
,0.001,222,,,
222,,222,,,138973.9375
,0.001,223,,,
223,,223,,,138876.421875
,0.001,224,,,
224,,224,,,138778.71875
,0.001,225,,,
225,,225,,,138680.78125
,0.001,226,,,
226,,226,,,138582.625
,0.001,227,,,
227,,227,,,138484.296875
,0.001,228,,,
228,,228,,,138385.703125
,0.001,229,,,
229,,229,,,138286.953125
,0.001,230,,,
230,,230,,,138188.0
,0.001,231,,,
231,,231,,,138088.796875
,0.001,232,,,
232,,232,,,137989.4375
,0.001,233,,,
233,,233,,,137889.875
,0.001,234,,,
234,,234,,,137790.09375
,0.001,235,,,
235,,235,,,137690.125
,0.001,236,,,
236,,236,,,137589.96875
,0.001,237,,,
237,,237,,,137489.609375
,0.001,238,,,
238,,238,,,137389.046875
,0.001,239,,,
239,,239,,,137288.3125
,0.001,240,,,
240,,240,,,137187.375
,0.001,241,,,
241,,241,,,137086.21875
,0.001,242,,,
242,,242,,,136984.875
,0.001,243,,,
243,,243,,,136883.375
,0.001,244,,,
244,,244,,,136781.640625
,0.001,245,,,
245,,245,,,136679.734375
,0.001,246,,,
246,,246,,,136577.640625
,0.001,247,,,
247,,247,,,136475.375
,0.001,248,,,
248,,248,,,136372.90625
,0.001,249,,,
249,,249,,46061.8984375,
249,,249,,,136270.265625
,0.001,250,,,
250,,250,,,136167.40625
,0.001,251,,,
251,,251,,,136064.390625
,0.001,252,,,
252,,252,,,135961.15625
,0.001,253,,,
253,,253,,,135857.75
,0.001,254,,,
254,,254,,,135754.140625
,0.001,255,,,
255,,255,,,135650.375
,0.001,256,,,
256,,256,,,135546.421875
,0.001,257,,,
257,,257,,,135442.28125
,0.001,258,,,
258,,258,,,135337.9375
,0.001,259,,,
259,,259,,,135233.421875
,0.001,260,,,
260,,260,,,135128.71875
,0.001,261,,,
261,,261,,,135023.84375
,0.001,262,,,
262,,262,,,134918.796875
,0.001,263,,,
263,,263,,,134813.546875
,0.001,264,,,
264,,264,,,134708.125
,0.001,265,,,
265,,265,,,134602.53125
,0.001,266,,,
266,,266,,,134496.734375
,0.001,267,,,
267,,267,,,134390.765625
,0.001,268,,,
268,,268,,,134284.625
,0.001,269,,,
269,,269,,,134178.296875
,0.001,270,,,
270,,270,,,134071.78125
,0.001,271,,,
271,,271,,,133965.109375
,0.001,272,,,
272,,272,,,133858.234375
,0.001,273,,,
273,,273,,,133751.21875
,0.001,274,,,
274,,274,,,133644.0
,0.001,275,,,
275,,275,,,133536.59375
,0.001,276,,,
276,,276,,,133429.046875
,0.001,277,,,
277,,277,,,133321.296875
,0.001,278,,,
278,,278,,,133213.359375
,0.001,279,,,
279,,279,,,133105.28125
,0.001,280,,,
280,,280,,,132997.0
,0.001,281,,,
281,,281,,,132888.5625
,0.001,282,,,
282,,282,,,132779.9375
,0.001,283,,,
283,,283,,,132671.15625
,0.001,284,,,
284,,284,,,132562.1875
,0.001,285,,,
285,,285,,,132453.046875
,0.001,286,,,
286,,286,,,132343.765625
,0.001,287,,,
287,,287,,,132234.265625
,0.001,288,,,
288,,288,,,132124.609375
,0.001,289,,,
289,,289,,,132014.796875
,0.001,290,,,
290,,290,,,131904.78125
,0.001,291,,,
291,,291,,,131794.625
,0.001,292,,,
292,,292,,,131684.296875
,0.001,293,,,
293,,293,,,131573.8125
,0.001,294,,,
294,,294,,,131463.109375
,0.001,295,,,
295,,295,,,131352.296875
,0.001,296,,,
296,,296,,,131241.265625
,0.001,297,,,
297,,297,,,131130.09375
,0.001,298,,,
298,,298,,,131018.7421875
