epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.001,0,,,
0,,0,,,156176.1875
,0.001,1,,,
1,,1,,,156085.03125
,0.001,2,,,
2,,2,,,155966.53125
,0.001,3,,,
3,,3,,,155829.484375
,0.001,4,,,
4,,4,,,155685.46875
,0.001,5,,,
5,,5,,,155529.046875
,0.001,6,,,
6,,6,,,155360.40625
,0.001,7,,,
7,,7,,,155216.703125
,0.001,8,,,
8,,8,,,155107.484375
,0.001,9,,,
9,,9,,,155019.84375
,0.001,10,,,
10,,10,,,154933.546875
,0.001,11,,,
11,,11,,,154851.015625
,0.001,12,,,
12,,12,,,154768.0
,0.001,13,,,
13,,13,,,154683.140625
,0.001,14,,,
14,,14,,,154615.53125
,0.001,15,,,
15,,15,,,154561.8125
,0.001,16,,,
16,,16,,,154511.453125
,0.001,17,,,
17,,17,,,154463.59375
,0.001,18,,,
18,,18,,,154418.140625
,0.001,19,,,
19,,19,,,154349.609375
,0.001,20,,,
20,,20,,,154259.109375
,0.001,21,,,
21,,21,,,154184.71875
,0.001,22,,,
22,,22,,,154106.390625
,0.001,23,,,
23,,23,,,154039.125
,0.001,24,,,
24,,24,,,153984.3125
,0.001,25,,,
25,,25,,,153930.09375
,0.001,26,,,
26,,26,,,153870.953125
,0.001,27,,,
27,,27,,,153816.53125
,0.001,28,,,
28,,28,,,153762.65625
,0.001,29,,,
29,,29,,,153716.265625
,0.001,30,,,
30,,30,,,153667.9375
,0.001,31,,,
31,,31,,,153620.8125
,0.001,32,,,
32,,32,,,153574.421875
,0.001,33,,,
33,,33,,,153527.0
,0.001,34,,,
34,,34,,,153481.1875
,0.001,35,,,
35,,35,,,153433.25
,0.001,36,,,
36,,36,,,153386.46875
,0.001,37,,,
37,,37,,,153339.0625
,0.001,38,,,
38,,38,,,153290.8125
,0.001,39,,,
39,,39,,,153242.671875
,0.001,40,,,
40,,40,,,153194.453125
,0.001,41,,,
41,,41,,,153146.46875
,0.001,42,,,
42,,42,,,153098.46875
,0.001,43,,,
43,,43,,,153049.359375
,0.001,44,,,
44,,44,,,153002.5
,0.001,45,,,
45,,45,,,152951.515625
,0.001,46,,,
46,,46,,,152902.59375
,0.001,47,,,
47,,47,,,152853.75
,0.001,48,,,
48,,48,,,152804.46875
,0.001,49,,,
49,,49,,33555.88671875,
49,,49,,,152754.6875
,0.001,50,,,
50,,50,,,152704.109375
,0.001,51,,,
51,,51,,,152653.8125
,0.001,52,,,
52,,52,,,152603.1875
,0.001,53,,,
53,,53,,,152552.453125
,0.001,54,,,
54,,54,,,152501.203125
,0.001,55,,,
55,,55,,,152450.671875
,0.001,56,,,
56,,56,,,152400.625
,0.001,57,,,
57,,57,,,152350.484375
,0.001,58,,,
58,,58,,,152299.84375
,0.001,59,,,
59,,59,,,152249.109375
,0.001,60,,,
60,,60,,,152198.34375
,0.001,61,,,
61,,61,,,152147.453125
,0.001,62,,,
62,,62,,,152096.421875
,0.001,63,,,
63,,63,,,152045.25
,0.001,64,,,
64,,64,,,151993.9375
,0.001,65,,,
65,,65,,,151942.53125
,0.001,66,,,
66,,66,,,151891.03125
,0.001,67,,,
67,,67,,,151839.375
,0.001,68,,,
68,,68,,,151786.53125
,0.001,69,,,
69,,69,,,151727.515625
,0.001,70,,,
70,,70,,,151665.765625
,0.001,71,,,
71,,71,,,151599.84375
,0.001,72,,,
72,,72,,,151546.9375
,0.001,73,,,
73,,73,,,151492.984375
,0.001,74,,,
74,,74,,,151438.96875
,0.001,75,,,
75,,75,,,151384.5
,0.001,76,,,
76,,76,,,151329.640625
,0.001,77,,,
77,,77,,,151274.421875
,0.001,78,,,
78,,78,,,151218.859375
,0.001,79,,,
79,,79,,,151163.078125
,0.001,80,,,
80,,80,,,151106.75
,0.001,81,,,
81,,81,,,151050.625
,0.001,82,,,
82,,82,,,150994.609375
,0.001,83,,,
83,,83,,,150938.421875
,0.001,84,,,
84,,84,,,150882.203125
,0.001,85,,,
85,,85,,,150825.75
,0.001,86,,,
86,,86,,,150769.078125
,0.001,87,,,
87,,87,,,150712.1875
,0.001,88,,,
88,,88,,,150655.21875
,0.001,89,,,
89,,89,,,150598.09375
,0.001,90,,,
90,,90,,,150540.75
,0.001,91,,,
91,,91,,,150483.15625
,0.001,92,,,
92,,92,,,150425.390625
,0.001,93,,,
93,,93,,,150367.546875
,0.001,94,,,
94,,94,,,150309.546875
,0.001,95,,,
95,,95,,,150251.28125
,0.001,96,,,
96,,96,,,150192.71875
,0.001,97,,,
97,,97,,,150134.015625
,0.001,98,,,
98,,98,,,150075.296875
,0.001,99,,,
99,,99,,32490.05859375,
99,,99,,,150016.375
,0.001,100,,,
100,,100,,,149957.078125
,0.001,101,,,
101,,101,,,149897.421875
,0.001,102,,,
102,,102,,,149837.6875
,0.001,103,,,
103,,103,,,149777.96875
,0.001,104,,,
104,,104,,,149717.96875
,0.001,105,,,
105,,105,,,149657.3125
,0.001,106,,,
106,,106,,,149595.515625
,0.001,107,,,
107,,107,,,149532.5
,0.001,108,,,
108,,108,,,149469.578125
,0.001,109,,,
109,,109,,,149407.765625
,0.001,110,,,
110,,110,,,149346.984375
,0.001,111,,,
111,,111,,,149284.484375
,0.001,112,,,
112,,112,,,149221.140625
,0.001,113,,,
113,,113,,,149158.921875
,0.001,114,,,
114,,114,,,149096.296875
,0.001,115,,,
115,,115,,,149035.515625
,0.001,116,,,
116,,116,,,148971.140625
,0.001,117,,,
117,,117,,,148906.78125
,0.001,118,,,
118,,118,,,148844.390625
,0.001,119,,,
119,,119,,,148786.390625
,0.001,120,,,
120,,120,,,148719.421875
,0.001,121,,,
121,,121,,,148652.328125
,0.001,122,,,
122,,122,,,148591.78125
,0.001,123,,,
123,,123,,,148532.515625
,0.001,124,,,
124,,124,,,148466.140625
,0.001,125,,,
125,,125,,,148397.015625
,0.001,126,,,
126,,126,,,148334.359375
,0.001,127,,,
127,,127,,,148273.15625
,0.001,128,,,
128,,128,,,148207.609375
,0.001,129,,,
129,,129,,,148138.75
,0.001,130,,,
130,,130,,,148072.375
,0.001,131,,,
131,,131,,,148009.28125
,0.001,132,,,
132,,132,,,147943.953125
,0.001,133,,,
133,,133,,,147876.0
,0.001,134,,,
134,,134,,,147807.234375
,0.001,135,,,
135,,135,,,147741.4375
,0.001,136,,,
136,,136,,,147676.03125
,0.001,137,,,
137,,137,,,147608.46875
,0.001,138,,,
138,,138,,,147539.203125
,0.001,139,,,
139,,139,,,147470.65625
,0.001,140,,,
140,,140,,,147404.234375
,0.001,141,,,
141,,141,,,147336.765625
,0.001,142,,,
142,,142,,,147267.703125
,0.001,143,,,
143,,143,,,147197.765625
,0.001,144,,,
144,,144,,,147129.171875
,0.001,145,,,
145,,145,,,147061.34375
,0.001,146,,,
146,,146,,,146990.140625
,0.001,147,,,
147,,147,,,146911.46875
,0.001,148,,,
148,,148,,,146835.296875
,0.001,149,,,
149,,149,,31250.1328125,
149,,149,,,146760.203125
,0.001,150,,,
150,,150,,,146688.328125
,0.001,151,,,
151,,151,,,146618.171875
,0.001,152,,,
152,,152,,,146547.21875
,0.001,153,,,
153,,153,,,146475.671875
,0.001,154,,,
154,,154,,,146403.9375
,0.001,155,,,
155,,155,,,146332.328125
,0.001,156,,,
156,,156,,,146260.9375
,0.001,157,,,
157,,157,,,146189.171875
,0.001,158,,,
158,,158,,,146117.046875
,0.001,159,,,
159,,159,,,146044.59375
,0.001,160,,,
160,,160,,,145971.90625
,0.001,161,,,
161,,161,,,145898.984375
,0.001,162,,,
162,,162,,,145825.796875
,0.001,163,,,
163,,163,,,145752.296875
,0.001,164,,,
164,,164,,,145678.46875
,0.001,165,,,
165,,165,,,145604.15625
,0.001,166,,,
166,,166,,,145524.421875
,0.001,167,,,
167,,167,,,145426.453125
,0.001,168,,,
168,,168,,,145357.640625
,0.001,169,,,
169,,169,,,145283.078125
,0.001,170,,,
170,,170,,,145206.6875
,0.001,171,,,
171,,171,,,145129.515625
,0.001,172,,,
172,,172,,,145051.78125
,0.001,173,,,
173,,173,,,144973.5
,0.001,174,,,
174,,174,,,144894.78125
,0.001,175,,,
175,,175,,,144815.609375
,0.001,176,,,
176,,176,,,144736.109375
,0.001,177,,,
177,,177,,,144656.234375
,0.001,178,,,
178,,178,,,144576.0625
,0.001,179,,,
179,,179,,,144495.59375
,0.001,180,,,
180,,180,,,144414.859375
,0.001,181,,,
181,,181,,,144333.84375
,0.001,182,,,
182,,182,,,144252.625
,0.001,183,,,
183,,183,,,144171.140625
,0.001,184,,,
184,,184,,,144089.421875
,0.001,185,,,
185,,185,,,144007.484375
,0.001,186,,,
186,,186,,,143925.34375
,0.001,187,,,
187,,187,,,143842.96875
,0.001,188,,,
188,,188,,,143760.40625
,0.001,189,,,
189,,189,,,143677.625
,0.001,190,,,
190,,190,,,143594.65625
,0.001,191,,,
191,,191,,,143511.46875
,0.001,192,,,
192,,192,,,143428.109375
,0.001,193,,,
193,,193,,,143344.515625
,0.001,194,,,
194,,194,,,143260.78125
,0.001,195,,,
195,,195,,,143176.796875
,0.001,196,,,
196,,196,,,143092.65625
,0.001,197,,,
197,,197,,,143008.3125
,0.001,198,,,
198,,198,,,142923.765625
,0.001,199,,,
199,,199,,29772.015625,
199,,199,,,142839.046875
,0.001,200,,,
200,,200,,,142754.125
,0.001,201,,,
201,,201,,,142669.015625
,0.001,202,,,
202,,202,,,142583.703125
,0.001,203,,,
203,,203,,,142498.203125
,0.001,204,,,
204,,204,,,142412.5
,0.001,205,,,
205,,205,,,142326.625
,0.001,206,,,
206,,206,,,142240.546875
,0.001,207,,,
207,,207,,,142154.28125
,0.001,208,,,
208,,208,,,142067.8125
,0.001,209,,,
209,,209,,,141981.15625
,0.001,210,,,
210,,210,,,141894.296875
,0.001,211,,,
211,,211,,,141807.265625
