epoch,lr-AdamW,step,test_mse,val_mse
,0.0005,0,,
0,,0,,745.5419311523438
,0.0005,1,,
1,,1,,729.9901733398438
,0.0005,2,,
2,,2,,714.14404296875
,0.0005,3,,
3,,3,,697.3527221679688
,0.0005,4,,
4,,4,,679.9450073242188
,0.0005,5,,
5,,5,,661.4028930664062
,0.0005,6,,
6,,6,,642.1047973632812
,0.0005,7,,
7,,7,,623.0658569335938
,0.0005,8,,
8,,8,,603.4349365234375
,0.0005,9,,
9,,9,,582.6070556640625
,0.0005,10,,
10,,10,,562.3359375
,0.0005,11,,
11,,11,,542.1364135742188
,0.0005,12,,
12,,12,,521.4467163085938
,0.0005,13,,
13,,13,,500.6677551269531
,0.0005,14,,
14,,14,,478.3145446777344
,0.0005,15,,
15,,15,,450.4512023925781
,0.0005,16,,
16,,16,,424.3726806640625
,0.0005,17,,
17,,17,,397.85577392578125
,0.0005,18,,
18,,18,,374.23638916015625
,0.0005,19,,
19,,19,,352.6280517578125
,0.0005,20,,
20,,20,,330.5607604980469
,0.0005,21,,
21,,21,,308.13336181640625
,0.0005,22,,
22,,22,,285.9036865234375
,0.0005,23,,
23,,23,,263.4502868652344
,0.0005,24,,
24,,24,,240.54269409179688
,0.0005,25,,
25,,25,,217.31410217285156
,0.0005,26,,
26,,26,,193.61178588867188
,0.0005,27,,
27,,27,,169.3236846923828
,0.0005,28,,
28,,28,,144.9969940185547
,0.0005,29,,
29,,29,,123.67049407958984
,0.0005,30,,
30,,30,,106.04666137695312
,0.0005,31,,
31,,31,,91.86177825927734
,0.0005,32,,
32,,32,,80.72958374023438
,0.0005,33,,
33,,33,,72.55358123779297
,0.0005,34,,
34,,34,,66.90516662597656
,0.0005,35,,
35,,35,,63.8037223815918
,0.0005,36,,
36,,36,,63.13777160644531
,0.0005,37,,
37,,37,,64.38304138183594
,0.0005,38,,
38,,38,,67.55661010742188
,0.0005,39,,
39,,39,,72.22447967529297
,0.0005,40,,
40,,40,,77.99685668945312
,0.0005,41,,
41,,41,,83.93020629882812
42,,42,65.95787048339844,
