epoch,lr-AdamW,step,test_mse,train_mse,val_mse
137,,137,,,147247.4375
,0.001,138,,,
138,,138,,,147175.671875
,0.001,139,,,
139,,139,,,147103.71875
,0.001,140,,,
140,,140,,,147031.515625
,0.001,141,,,
141,,141,,,146959.078125
,0.001,142,,,
142,,142,,,146886.453125
,0.001,143,,,
143,,143,,,146813.578125
,0.001,144,,,
144,,144,,,146740.453125
,0.001,145,,,
145,,145,,,146667.125
,0.001,146,,,
146,,146,,,146593.578125
,0.001,147,,,
147,,147,,,146519.765625
,0.001,148,,,
148,,148,,,146445.765625
,0.001,149,,,
149,,149,,29838.197265625,
149,,149,,,146371.484375
,0.001,150,,,
150,,150,,,146297.015625
,0.001,151,,,
151,,151,,,146222.296875
,0.001,152,,,
152,,152,,,146147.375
,0.001,153,,,
153,,153,,,146072.203125
,0.001,154,,,
154,,154,,,145996.796875
,0.001,155,,,
155,,155,,,145921.15625
,0.001,156,,,
156,,156,,,145845.296875
,0.001,157,,,
157,,157,,,145769.21875
,0.001,158,,,
158,,158,,,145692.90625
,0.001,159,,,
159,,159,,,145616.34375
,0.001,160,,,
160,,160,,,145539.5625
,0.001,161,,,
161,,161,,,145462.5625
,0.001,162,,,
162,,162,,,145385.3125
,0.001,163,,,
163,,163,,,145307.84375
,0.001,164,,,
164,,164,,,145230.140625
,0.001,165,,,
165,,165,,,145152.203125
,0.001,166,,,
166,,166,,,145074.03125
,0.001,167,,,
167,,167,,,144995.65625
,0.001,168,,,
168,,168,,,144917.015625
,0.001,169,,,
169,,169,,,144838.171875
,0.001,170,,,
170,,170,,,144759.078125
,0.001,171,,,
171,,171,,,144679.765625
,0.001,172,,,
172,,172,,,144600.203125
,0.001,173,,,
173,,173,,,144520.421875
,0.001,174,,,
174,,174,,,144440.421875
,0.001,175,,,
175,,175,,,144360.171875
,0.001,176,,,
176,,176,,,144279.703125
,0.001,177,,,
177,,177,,,144199.015625
,0.001,178,,,
178,,178,,,144118.0625
,0.001,179,,,
179,,179,,,144036.921875
,0.001,180,,,
180,,180,,,143955.515625
,0.001,181,,,
181,,181,,,143873.90625
,0.001,182,,,
182,,182,,,143792.0625
,0.001,183,,,
183,,183,,,143709.96875
,0.001,184,,,
184,,184,,,143627.671875
,0.001,185,,,
185,,185,,,143545.109375
,0.001,186,,,
186,,186,,,143462.359375
,0.001,187,,,
187,,187,,,143379.375
,0.001,188,,,
188,,188,,,143296.125
,0.001,189,,,
189,,189,,,143212.671875
,0.001,190,,,
190,,190,,,143129.0
,0.001,191,,,
191,,191,,,143045.078125
,0.001,192,,,
192,,192,,,142960.953125
,0.001,193,,,
193,,193,,,142876.5625
,0.001,194,,,
194,,194,,,142791.984375
,0.001,195,,,
195,,195,,,142707.15625
,0.001,196,,,
196,,196,,,142622.109375
,0.001,197,,,
197,,197,,,142536.828125
,0.001,198,,,
198,,198,,,142451.3125
,0.001,199,,,
199,,199,,28624.837890625,
199,,199,,,142365.609375
,0.001,200,,,
200,,200,,,142279.640625
,0.001,201,,,
201,,201,,,142193.453125
,0.001,202,,,
202,,202,,,142107.03125
,0.001,203,,,
203,,203,,,142020.390625
,0.001,204,,,
204,,204,,,141933.546875
,0.001,205,,,
205,,205,,,141846.453125
,0.001,206,,,
206,,206,,,141759.140625
,0.001,207,,,
207,,207,,,141671.59375
,0.001,208,,,
208,,208,,,141583.84375
,0.001,209,,,
209,,209,,,141495.84375
,0.001,210,,,
210,,210,,,141407.640625
,0.001,211,,,
211,,211,,,141319.203125
,0.001,212,,,
212,,212,,,141230.515625
,0.001,213,,,
213,,213,,,141141.640625
,0.001,214,,,
214,,214,,,141052.5
,0.001,215,,,
215,,215,,,140963.109375
,0.001,216,,,
216,,216,,,140873.453125
,0.001,217,,,
217,,217,,,140783.4375
,0.001,218,,,
218,,218,,,140692.953125
,0.001,219,,,
219,,219,,,140601.484375
,0.001,220,,,
220,,220,,,140507.703125
,0.001,221,,,
221,,221,,,140409.109375
,0.001,222,,,
222,,222,,,140309.484375
,0.001,223,,,
223,,223,,,140217.703125
,0.001,224,,,
224,,224,,,140125.8125
,0.001,225,,,
225,,225,,,140035.0
,0.001,226,,,
226,,226,,,139945.21875
,0.001,227,,,
227,,227,,,139852.5
,0.001,228,,,
228,,228,,,139755.53125
,0.001,229,,,
229,,229,,,139654.46875
,0.001,230,,,
230,,230,,,139563.703125
,0.001,231,,,
231,,231,,,139468.09375
,0.001,232,,,
232,,232,,,139375.21875
,0.001,233,,,
233,,233,,,139280.921875
,0.001,234,,,
234,,234,,,139186.234375
,0.001,235,,,
235,,235,,,139091.203125
,0.001,236,,,
236,,236,,,138995.84375
,0.001,237,,,
237,,237,,,138900.171875
,0.001,238,,,
238,,238,,,138804.140625
,0.001,239,,,
239,,239,,,138707.796875
,0.001,240,,,
240,,240,,,138611.140625
,0.001,241,,,
241,,241,,,138514.171875
,0.001,242,,,
242,,242,,,138416.9375
,0.001,243,,,
243,,243,,,138319.390625
,0.001,244,,,
244,,244,,,138221.578125
,0.001,245,,,
245,,245,,,138123.484375
,0.001,246,,,
246,,246,,,138025.125
,0.001,247,,,
247,,247,,,137926.546875
,0.001,248,,,
248,,248,,,137827.703125
,0.001,249,,,
249,,249,,27269.94921875,
249,,249,,,137728.625
,0.001,250,,,
250,,250,,,137629.28125
,0.001,251,,,
251,,251,,,137529.703125
,0.001,252,,,
252,,252,,,137429.90625
,0.001,253,,,
253,,253,,,137329.875
,0.001,254,,,
254,,254,,,137229.625
,0.001,255,,,
255,,255,,,137129.125
,0.001,256,,,
256,,256,,,137028.453125
,0.001,257,,,
257,,257,,,136927.53125
,0.001,258,,,
258,,258,,,136826.375
,0.001,259,,,
259,,259,,,136725.03125
,0.001,260,,,
260,,260,,,136623.46875
,0.001,261,,,
261,,261,,,136521.703125
,0.001,262,,,
262,,262,,,136419.71875
,0.001,263,,,
263,,263,,,136317.546875
,0.001,264,,,
264,,264,,,136215.140625
,0.001,265,,,
265,,265,,,136112.546875
,0.001,266,,,
266,,266,,,136009.75
,0.001,267,,,
267,,267,,,135906.75
