epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.001,0,,,
0,,0,,,156970.25
,0.001,1,,,
1,,1,,,156766.234375
,0.001,2,,,
2,,2,,,156407.640625
,0.001,3,,,
3,,3,,,156080.171875
,0.001,4,,,
4,,4,,,155861.75
,0.001,5,,,
5,,5,,,155677.8125
,0.001,6,,,
6,,6,,,155556.921875
,0.001,7,,,
7,,7,,,155470.6875
,0.001,8,,,
8,,8,,,155388.09375
,0.001,9,,,
9,,9,,,155305.765625
,0.001,10,,,
10,,10,,,155244.453125
,0.001,11,,,
11,,11,,,155172.71875
,0.001,12,,,
12,,12,,,155071.15625
,0.001,13,,,
13,,13,,,154983.59375
,0.001,14,,,
14,,14,,,154903.828125
,0.001,15,,,
15,,15,,,154843.96875
,0.001,16,,,
16,,16,,,154792.109375
,0.001,17,,,
17,,17,,,154740.328125
,0.001,18,,,
18,,18,,,154664.125
,0.001,19,,,
19,,19,,,154537.5
,0.001,20,,,
20,,20,,,154454.734375
,0.001,21,,,
21,,21,,,154402.453125
,0.001,22,,,
22,,22,,,154358.359375
,0.001,23,,,
23,,23,,,154315.484375
,0.001,24,,,
24,,24,,,154273.015625
,0.001,25,,,
25,,25,,,154229.953125
,0.001,26,,,
26,,26,,,154186.453125
,0.001,27,,,
27,,27,,,154141.984375
,0.001,28,,,
28,,28,,,154096.125
,0.001,29,,,
29,,29,,,154049.546875
,0.001,30,,,
30,,30,,,154000.625
,0.001,31,,,
31,,31,,,153949.078125
,0.001,32,,,
32,,32,,,153901.125
,0.001,33,,,
33,,33,,,153855.21875
,0.001,34,,,
34,,34,,,153809.4375
,0.001,35,,,
35,,35,,,153763.359375
,0.001,36,,,
36,,36,,,153716.484375
,0.001,37,,,
37,,37,,,153668.859375
,0.001,38,,,
38,,38,,,153619.234375
,0.001,39,,,
39,,39,,,153567.1875
,0.001,40,,,
40,,40,,,153512.921875
,0.001,41,,,
41,,41,,,153451.75
,0.001,42,,,
42,,42,,,153389.578125
,0.001,43,,,
43,,43,,,153340.046875
,0.001,44,,,
44,,44,,,153291.40625
,0.001,45,,,
45,,45,,,153242.0625
,0.001,46,,,
46,,46,,,153192.453125
,0.001,47,,,
47,,47,,,153142.625
,0.001,48,,,
48,,48,,,153092.515625
,0.001,49,,,
49,,49,,55277.4453125,
49,,49,,,153039.59375
,0.001,50,,,
50,,50,,,152993.34375
,0.001,51,,,
51,,51,,,152943.484375
,0.001,52,,,
52,,52,,,152892.421875
,0.001,53,,,
53,,53,,,152841.09375
,0.001,54,,,
54,,54,,,152788.890625
,0.001,55,,,
55,,55,,,152736.921875
,0.001,56,,,
56,,56,,,152685.703125
,0.001,57,,,
57,,57,,,152633.859375
,0.001,58,,,
58,,58,,,152580.859375
,0.001,59,,,
59,,59,,,152527.328125
,0.001,60,,,
60,,60,,,152473.171875
,0.001,61,,,
61,,61,,,152419.609375
,0.001,62,,,
62,,62,,,152366.125
,0.001,63,,,
63,,63,,,152311.71875
,0.001,64,,,
64,,64,,,152257.578125
,0.001,65,,,
