epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.0005,0,,,
0,,0,,,394.47216796875
,0.0005,1,,,
1,,1,,,394.3389892578125
,0.0005,2,,,
2,,2,,,394.20697021484375
,0.0005,3,,,
3,,3,,,394.0762939453125
,0.0005,4,,,
4,,4,,,393.94696044921875
,0.0005,5,,,
5,,5,,,393.8186950683594
,0.0005,6,,,
6,,6,,,393.6911926269531
,0.0005,7,,,
7,,7,,,393.564208984375
,0.0005,8,,,
8,,8,,,393.4377136230469
,0.0005,9,,,
9,,9,,,393.31146240234375
,0.0005,10,,,
10,,10,,,393.18536376953125
,0.0005,11,,,
11,,11,,,393.0596618652344
,0.0005,12,,,
12,,12,,,392.93408203125
,0.0005,13,,,
13,,13,,,392.8086242675781
,0.0005,14,,,
14,,14,,,392.6830139160156
,0.0005,15,,,
15,,15,,,392.5574645996094
,0.0005,16,,,
16,,16,,,392.4321594238281
,0.0005,17,,,
17,,17,,,392.3072204589844
,0.0005,18,,,
18,,18,,,392.182373046875
,0.0005,19,,,
19,,19,,,392.057373046875
,0.0005,20,,,
20,,20,,,391.9327697753906
,0.0005,21,,,
21,,21,,,391.80865478515625
,0.0005,22,,,
22,,22,,,391.6847229003906
,0.0005,23,,,
23,,23,,,391.560791015625
,0.0005,24,,,
24,,24,,,391.4375915527344
,0.0005,25,,,
25,,25,,,391.31451416015625
,0.0005,26,,,
26,,26,,,391.19189453125
,0.0005,27,,,
27,,27,,,391.0697937011719
,0.0005,28,,,
28,,28,,,390.94775390625
,0.0005,29,,,
29,,29,,,390.8262939453125
,0.0005,30,,,
30,,30,,,390.70513916015625
,0.0005,31,,,
31,,31,,,390.58477783203125
,0.0005,32,,,
32,,32,,,390.4647521972656
,0.0005,33,,,
33,,33,,,390.3451232910156
,0.0005,34,,,
34,,34,,,390.2257995605469
,0.0005,35,,,
35,,35,,,390.1070251464844
,0.0005,36,,,
36,,36,,,389.9887390136719
,0.0005,37,,,
37,,37,,,389.8710021972656
,0.0005,38,,,
38,,38,,,389.75384521484375
,0.0005,39,,,
39,,39,,,389.6373291015625
,0.0005,40,,,
40,,40,,,389.52130126953125
,0.0005,41,,,
41,,41,,,389.4053955078125
,0.0005,42,,,
42,,42,,,389.2904357910156
,0.0005,43,,,
43,,43,,,389.1756896972656
,0.0005,44,,,
44,,44,,,389.0616455078125
,0.0005,45,,,
45,,45,,,388.9482116699219
,0.0005,46,,,
46,,46,,,388.8351745605469
,0.0005,47,,,
47,,47,,,388.72271728515625
,0.0005,48,,,
48,,48,,,388.6109924316406
,0.0005,49,,,
49,,49,,246.7458038330078,
49,,49,,,388.49957275390625
50,,50,407.7943420410156,,
